attendance,date,division,f1_r1_clinch_a,f1_r1_clinch_l,f1_r1_distance_a,f1_r1_distance_l,f1_r1_ground_a,f1_r1_ground_l,f1_r1_kd,f1_r1_pass,f1_r1_rev,f1_r1_s_a,f1_r1_s_l,f1_r1_ss_a,f1_r1_ss_body_a,f1_r1_ss_body_l,f1_r1_ss_head_a,f1_r1_ss_head_l,f1_r1_ss_l,f1_r1_ss_leg_a,f1_r1_ss_leg_l,f1_r1_sub_a,f1_r1_td_a,f1_r1_td_l,f1_r2_clinch_a,f1_r2_clinch_l,f1_r2_distance_a,f1_r2_distance_l,f1_r2_ground_a,f1_r2_ground_l,f1_r2_kd,f1_r2_pass,f1_r2_rev,f1_r2_s_a,f1_r2_s_l,f1_r2_ss_a,f1_r2_ss_body_a,f1_r2_ss_body_l,f1_r2_ss_head_a,f1_r2_ss_head_l,f1_r2_ss_l,f1_r2_ss_leg_a,f1_r2_ss_leg_l,f1_r2_sub_a,f1_r2_td_a,f1_r2_td_l,f1_r3_clinch_a,f1_r3_clinch_l,f1_r3_distance_a,f1_r3_distance_l,f1_r3_ground_a,f1_r3_ground_l,f1_r3_kd,f1_r3_pass,f1_r3_rev,f1_r3_s_a,f1_r3_s_l,f1_r3_ss_a,f1_r3_ss_body_a,f1_r3_ss_body_l,f1_r3_ss_head_a,f1_r3_ss_head_l,f1_r3_ss_l,f1_r3_ss_leg_a,f1_r3_ss_leg_l,f1_r3_sub_a,f1_r3_td_a,f1_r3_td_l,f1_r4_clinch_a,f1_r4_clinch_l,f1_r4_distance_a,f1_r4_distance_l,f1_r4_ground_a,f1_r4_ground_l,f1_r4_kd,f1_r4_pass,f1_r4_rev,f1_r4_s_a,f1_r4_s_l,f1_r4_ss_a,f1_r4_ss_body_a,f1_r4_ss_body_l,f1_r4_ss_head_a,f1_r4_ss_head_l,f1_r4_ss_l,f1_r4_ss_leg_a,f1_r4_ss_leg_l,f1_r4_sub_a,f1_r4_td_a,f1_r4_td_l,f1_r5_clinch_a,f1_r5_clinch_l,f1_r5_distance_a,f1_r5_distance_l,f1_r5_ground_a,f1_r5_ground_l,f1_r5_kd,f1_r5_pass,f1_r5_rev,f1_r5_s_a,f1_r5_s_l,f1_r5_ss_a,f1_r5_ss_body_a,f1_r5_ss_body_l,f1_r5_ss_head_a,f1_r5_ss_head_l,f1_r5_ss_l,f1_r5_ss_leg_a,f1_r5_ss_leg_l,f1_r5_sub_a,f1_r5_td_a,f1_r5_td_l,f1_tot_clinch_a,f1_tot_clinch_l,f1_tot_distance_a,f1_tot_distance_l,f1_tot_ground_a,f1_tot_ground_l,f1_tot_kd,f1_tot_pass,f1_tot_rev,f1_tot_s_a,f1_tot_s_l,f1_tot_ss_a,f1_tot_ss_body_a,f1_tot_ss_body_l,f1_tot_ss_head_a,f1_tot_ss_head_l,f1_tot_ss_l,f1_tot_ss_leg_a,f1_tot_ss_leg_l,f1_tot_sub_a,f1_tot_td_a,f1_tot_td_l,f2_r1_clinch_a,f2_r1_clinch_l,f2_r1_distance_a,f2_r1_distance_l,f2_r1_ground_a,f2_r1_ground_l,f2_r1_kd,f2_r1_pass,f2_r1_rev,f2_r1_s_a,f2_r1_s_l,f2_r1_ss_a,f2_r1_ss_body_a,f2_r1_ss_body_l,f2_r1_ss_head_a,f2_r1_ss_head_l,f2_r1_ss_l,f2_r1_ss_leg_a,f2_r1_ss_leg_l,f2_r1_sub_a,f2_r1_td_a,f2_r1_td_l,f2_r2_clinch_a,f2_r2_clinch_l,f2_r2_distance_a,f2_r2_distance_l,f2_r2_ground_a,f2_r2_ground_l,f2_r2_kd,f2_r2_pass,f2_r2_rev,f2_r2_s_a,f2_r2_s_l,f2_r2_ss_a,f2_r2_ss_body_a,f2_r2_ss_body_l,f2_r2_ss_head_a,f2_r2_ss_head_l,f2_r2_ss_l,f2_r2_ss_leg_a,f2_r2_ss_leg_l,f2_r2_sub_a,f2_r2_td_a,f2_r2_td_l,f2_r3_clinch_a,f2_r3_clinch_l,f2_r3_distance_a,f2_r3_distance_l,f2_r3_ground_a,f2_r3_ground_l,f2_r3_kd,f2_r3_pass,f2_r3_rev,f2_r3_s_a,f2_r3_s_l,f2_r3_ss_a,f2_r3_ss_body_a,f2_r3_ss_body_l,f2_r3_ss_head_a,f2_r3_ss_head_l,f2_r3_ss_l,f2_r3_ss_leg_a,f2_r3_ss_leg_l,f2_r3_sub_a,f2_r3_td_a,f2_r3_td_l,f2_r4_clinch_a,f2_r4_clinch_l,f2_r4_distance_a,f2_r4_distance_l,f2_r4_ground_a,f2_r4_ground_l,f2_r4_kd,f2_r4_pass,f2_r4_rev,f2_r4_s_a,f2_r4_s_l,f2_r4_ss_a,f2_r4_ss_body_a,f2_r4_ss_body_l,f2_r4_ss_head_a,f2_r4_ss_head_l,f2_r4_ss_l,f2_r4_ss_leg_a,f2_r4_ss_leg_l,f2_r4_sub_a,f2_r4_td_a,f2_r4_td_l,f2_r5_clinch_a,f2_r5_clinch_l,f2_r5_distance_a,f2_r5_distance_l,f2_r5_ground_a,f2_r5_ground_l,f2_r5_kd,f2_r5_pass,f2_r5_rev,f2_r5_s_a,f2_r5_s_l,f2_r5_ss_a,f2_r5_ss_body_a,f2_r5_ss_body_l,f2_r5_ss_head_a,f2_r5_ss_head_l,f2_r5_ss_l,f2_r5_ss_leg_a,f2_r5_ss_leg_l,f2_r5_sub_a,f2_r5_td_a,f2_r5_td_l,f2_tot_clinch_a,f2_tot_clinch_l,f2_tot_distance_a,f2_tot_distance_l,f2_tot_ground_a,f2_tot_ground_l,f2_tot_kd,f2_tot_pass,f2_tot_rev,f2_tot_s_a,f2_tot_s_l,f2_tot_ss_a,f2_tot_ss_body_a,f2_tot_ss_body_l,f2_tot_ss_head_a,f2_tot_ss_head_l,f2_tot_ss_l,f2_tot_ss_leg_a,f2_tot_ss_leg_l,f2_tot_sub_a,f2_tot_td_a,f2_tot_td_l,fighter_1,fighter_1_detail_url,fighter_1_nn,fighter_2,fighter_2_detail_url,fighter_2_nn,location,referee,rounds,time,time_seconds,url,win_method,win_method_details,winner
10651,2019-12-21T00:00:00+00:00,Bantamweight Bout,0,0,8,3,6,6,0,1,0,59,43,14,1,1,13,8,9,0,0,0,2,2,0,0,6,1,4,3,0,0,0,55,38,10,0,0,10,4,4,0,0,0,1,1,0,0,12,4,4,3,0,1,0,39,27,16,1,1,14,5,7,1,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,8,14,12,0,2,0,153,108,40,2,2,37,17,20,1,1,0,7,3,0,0,8,3,7,6,0,0,0,63,53,15,0,0,12,6,9,3,3,0,0,0,0,0,5,2,3,3,0,0,0,36,31,8,0,0,6,3,5,2,2,0,0,0,0,0,20,3,10,8,0,0,0,50,30,30,2,2,24,7,11,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,33,8,20,17,0,0,0,149,114,53,2,2,42,16,25,9,7,0,0,0,Kyung Ho Kang,http://www.ufcstats.com/fighter-details/a7897d200692ab64,"""Mr. Perfect""",Liu Pingyuan,http://www.ufcstats.com/fighter-details/31bbd39c0a075d4e,,"Busan, South Korea",Peter Hickmott,3,5:00,300,http://www.ufcstats.com/fight-details/f93f794247af708a,Decision - Split,Paul Sutherland 30 - 27.Evan Field 28 - 29.Ben Cartlidge 29 - 28.,Kyung Ho Kang
10651,2019-12-21T00:00:00+00:00,Middleweight Bout,1,1,63,30,0,0,0,0,0,66,33,64,7,6,52,20,31,5,5,0,3,1,7,4,41,14,0,0,0,0,0,51,21,48,6,4,41,13,18,1,1,0,6,3,5,3,70,25,0,0,0,0,0,76,29,75,2,2,73,26,28,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,174,69,0,0,0,0,0,193,83,187,15,12,166,59,77,6,6,0,10,5,1,0,46,14,0,0,0,0,0,48,15,47,2,2,35,5,14,10,7,0,1,0,3,1,38,16,0,0,0,0,0,45,21,41,2,2,32,10,17,7,5,0,0,0,1,1,71,19,0,0,0,0,0,73,21,72,7,4,52,7,20,13,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,155,49,0,0,0,0,0,166,57,160,11,8,119,22,51,30,21,0,2,0,Junyong Park,http://www.ufcstats.com/fighter-details/285ae0b4a68221f4,"""The Iron Turtle""",Marc-Andre Barriault,http://www.ufcstats.com/fighter-details/8e9eb3fc86db0f7d,"""Powerbar""","Busan, South Korea",Thomas Fan,3,5:00,300,http://www.ufcstats.com/fight-details/b3bd27affa038e9c,Decision - Unanimous,Mark Collett 29 - 28.Anthony Dimitriou 29 - 28.Evan Field 30 - 27.,Junyong Park
10651,2019-12-21T00:00:00+00:00,Light Heavyweight Bout,0,0,6,1,4,4,1,0,0,10,5,10,0,0,10,5,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,1,4,4,1,0,0,10,5,10,0,0,10,5,5,0,0,0,0,0,0,0,8,4,0,0,0,0,0,8,4,8,2,2,1,0,4,5,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,4,0,0,0,0,0,8,4,8,2,2,1,0,4,5,2,0,0,0,Da-Un Jung,http://www.ufcstats.com/fighter-details/74f9448b97bf8bec,"""Sseda""",Mike Rodriguez,http://www.ufcstats.com/fighter-details/18b602842a24f7c5,"""Slo Mike""","Busan, South Korea",Marc Goddard,1,1:04,64,http://www.ufcstats.com/fight-details/47e49e04e32be7e9,KO/TKO,Punch to Head At Distance,Da-Un Jung
10651,2019-12-21T00:00:00+00:00,Featherweight Bout,8,3,43,23,6,3,1,0,0,59,31,57,6,6,48,20,29,3,3,0,0,0,0,0,37,13,0,0,0,0,0,37,13,37,5,3,32,10,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,80,36,6,3,1,0,0,96,44,94,11,9,80,30,42,3,3,0,0,0,4,4,45,19,7,5,1,0,0,67,39,56,16,12,32,13,28,8,3,0,0,0,0,0,70,33,3,3,1,0,0,73,36,73,21,11,52,25,36,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,115,52,10,8,2,0,0,140,75,129,37,23,84,38,64,8,3,0,0,0,Dooho Choi,http://www.ufcstats.com/fighter-details/e93b04e308913c2e,"""The Korean Superboy""",Charles Jourdain,http://www.ufcstats.com/fighter-details/f1d64ae34e088832,"""Air""","Busan, South Korea",Peter Hickmott,2,4:32,272,http://www.ufcstats.com/fight-details/997ab1ea9fab5643,KO/TKO,Punches to Head At Distance,Charles Jourdain
10651,2019-12-21T00:00:00+00:00,Light Heavyweight Bout,7,4,32,8,0,0,0,0,0,46,19,39,3,2,30,4,12,6,6,0,0,0,5,4,35,17,0,0,0,0,0,61,42,40,6,4,23,6,21,11,11,0,0,0,10,8,55,22,0,0,0,0,0,92,57,65,9,8,52,18,30,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,122,47,0,0,0,0,0,199,118,144,18,14,105,28,63,21,21,0,0,0,7,6,40,17,0,0,0,0,0,49,24,47,9,9,35,12,23,3,2,1,4,1,5,4,34,18,0,0,0,0,0,45,28,39,5,4,27,12,22,7,6,0,2,0,9,8,52,22,0,0,0,0,0,68,35,61,4,3,54,25,30,3,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,126,57,0,0,0,0,0,162,87,147,18,16,116,49,75,13,10,1,9,1,Volkan Oezdemir,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3,"""No Time""",Aleksandar Rakic,http://www.ufcstats.com/fighter-details/333b9e5c723ac873,,"Busan, South Korea",Greg Kleynjans,3,5:00,300,http://www.ufcstats.com/fight-details/2b8cae68963a40a9,Decision - Split,Anthony Dimitriou 29 - 28.Evan Field 28 - 29.Mark Collett 29 - 28.,Volkan Oezdemir
16811,2019-12-14T00:00:00+00:00,Women's Flyweight Bout,3,3,56,22,0,0,0,0,0,59,25,59,12,8,41,13,25,6,4,0,1,0,3,2,62,33,0,0,0,0,0,67,37,65,7,4,40,15,35,18,16,0,0,0,2,2,70,36,0,0,0,0,0,72,38,72,21,17,40,12,38,11,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,188,91,0,0,0,0,0,198,100,196,40,29,121,40,98,35,29,0,1,0,3,2,42,21,4,3,0,1,0,60,37,49,3,3,39,16,26,7,7,0,1,1,1,0,29,9,0,0,0,1,0,32,11,30,1,1,27,7,9,2,1,0,2,1,0,0,43,21,0,0,0,0,0,43,21,43,3,3,37,16,21,3,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,114,51,4,3,0,2,0,135,69,122,7,7,103,39,56,12,10,0,7,2,Jessica Eye,http://www.ufcstats.com/fighter-details/f72465a784c1b084,"""Evil""",Viviane Araujo,http://www.ufcstats.com/fighter-details/36541f1e6c5d4955,"""Vivi""","Las Vegas, Nevada, USA",Marc Goddard,3,5:00,300,http://www.ufcstats.com/fight-details/35d0ef51fede263c,Decision - Unanimous,Dave Hagen 29 - 28.Derek Cleary 29 - 28.Michael Bell 29 - 28.,Jessica Eye
16811,2019-12-14T00:00:00+00:00,Flyweight Bout,0,0,90,27,0,0,0,0,0,90,27,90,3,3,86,23,27,1,1,0,0,0,0,0,84,30,0,0,0,0,0,84,30,84,5,4,79,26,30,0,0,0,0,0,0,0,102,34,0,0,0,0,0,102,34,102,6,5,96,29,34,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,276,91,0,0,0,0,0,276,91,276,14,12,261,78,91,1,1,0,0,0,0,0,71,29,0,0,0,0,0,71,29,71,6,4,56,20,29,9,5,0,0,0,0,0,64,24,0,0,0,0,0,64,24,64,4,2,55,18,24,5,4,0,0,0,0,0,96,29,0,0,0,0,0,96,29,96,7,4,83,19,29,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,231,82,0,0,0,0,0,231,82,231,17,10,194,57,82,20,15,0,0,0,Brandon Moreno,http://www.ufcstats.com/fighter-details/792be9a24df82ed6,"""The Assassin Baby""",Kai Kara-France,http://www.ufcstats.com/fighter-details/853eb0dd5c0e2149,"""Don't Blink""","Las Vegas, Nevada, USA",Chris Tognoni,3,5:00,300,http://www.ufcstats.com/fight-details/1881b1e85cceee13,Decision - Unanimous,Mark Smith 30 - 27.Chris Lee 29 - 28.Junichiro Kamijo 29 - 28.,Brandon Moreno
10651,2019-12-21T00:00:00+00:00,Featherweight Bout,0,0,14,9,0,0,0,0,0,14,9,14,1,1,11,6,9,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,9,0,0,0,0,0,14,9,14,1,1,11,6,9,2,2,0,2,0,0,0,18,8,42,38,1,1,0,97,79,60,0,0,60,46,46,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18,8,42,38,1,1,0,97,79,60,0,0,60,46,46,0,0,0,0,0,Frankie Edgar,http://www.ufcstats.com/fighter-details/f2688492b9a525a3,"""The Answer""",Chan Sung Jung,http://www.ufcstats.com/fighter-details/c451d67c09c55418,"""The Korean Zombie""","Busan, South Korea",Marc Goddard,1,3:18,198,http://www.ufcstats.com/fight-details/06f37329b223b451,KO/TKO,Punches to Head At Distance,Chan Sung Jung
16811,2019-12-14T00:00:00+00:00,Featherweight Bout,1,1,4,3,31,16,0,2,0,70,37,36,3,2,32,17,20,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3,31,16,0,2,0,70,37,36,3,2,32,17,20,1,1,2,3,1,0,0,4,2,2,0,0,0,0,6,2,6,0,0,6,2,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,2,2,0,0,0,0,6,2,6,0,0,6,2,2,0,0,1,0,0,Chase Hooper,http://www.ufcstats.com/fighter-details/971246648e162f0d,"""The Dream""",Daniel Teymur,http://www.ufcstats.com/fighter-details/fbf0537e420e698e,"""Kid Dynamite""","Las Vegas, Nevada, USA",Jason Herzog,1,4:34,274,http://www.ufcstats.com/fight-details/d42410f6f1039ab5,KO/TKO,Elbows to Head From Mount,Chase Hooper
16811,2019-12-14T00:00:00+00:00,Welterweight Bout,0,0,6,3,4,2,0,1,0,17,10,10,2,1,8,4,5,0,0,0,1,1,2,2,14,7,21,16,0,2,0,42,30,37,1,1,35,23,25,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,20,10,25,18,0,3,0,59,40,47,3,2,43,27,30,1,1,0,3,2,0,0,6,2,8,7,0,0,0,19,14,14,2,0,12,9,9,0,0,4,0,0,0,0,9,3,0,0,0,0,0,30,24,9,4,2,5,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,5,8,7,0,0,0,49,38,23,6,2,17,10,12,0,0,4,0,0,Matt Brown,http://www.ufcstats.com/fighter-details/31123249b0bbf52e,"""The Immortal""",Ben Saunders,http://www.ufcstats.com/fighter-details/484acc7b0f856ce9,"""Killa B""","Las Vegas, Nevada, USA",Keith Peterson,2,4:55,295,http://www.ufcstats.com/fight-details/98dd88d83f57c17a,KO/TKO,Punches to Head From Guard,Matt Brown
16811,2019-12-14T00:00:00+00:00,Middleweight Bout,0,0,28,13,0,0,0,0,0,32,17,28,8,1,11,3,13,9,9,0,2,0,2,1,28,15,1,1,0,0,0,33,19,31,11,7,17,7,17,3,3,0,3,1,4,3,38,18,2,2,0,0,0,56,34,44,8,5,34,16,23,2,2,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,94,46,3,3,0,0,0,121,70,103,27,13,62,26,53,14,14,0,10,3,2,2,52,17,0,0,0,1,0,56,21,54,5,4,46,12,19,3,3,0,1,1,3,3,57,15,0,0,0,0,0,67,25,60,10,3,49,14,18,1,1,0,1,1,2,2,50,16,0,0,0,0,0,57,23,52,8,3,44,15,18,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,159,48,0,0,0,1,0,180,69,166,23,10,139,41,55,4,4,0,4,2,Ian Heinisch,http://www.ufcstats.com/fighter-details/2e585c701f72fe55,"""The Hurricane""",Omari Akhmedov,http://www.ufcstats.com/fighter-details/16690d100f995f8f,"""Wolverine""","Las Vegas, Nevada, USA",Marc Goddard,3,5:00,300,http://www.ufcstats.com/fight-details/dd88960598219eba,Decision - Unanimous,Ron McCarthy 28 - 29.Sal D'amato 28 - 29.Michael Bell 28 - 29.,Omari Akhmedov
16811,2019-12-14T00:00:00+00:00,Women's Bantamweight Bout,0,0,76,20,0,0,0,0,0,76,20,76,1,1,75,19,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,76,20,0,0,0,0,0,76,20,76,1,1,75,19,20,0,0,0,0,0,0,0,69,24,2,2,1,0,0,71,26,71,13,7,52,13,26,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,24,2,2,1,0,0,71,26,71,13,7,52,13,26,6,6,0,0,0,Ketlen Vieira,http://www.ufcstats.com/fighter-details/b9706f80d005036c,"""Fenomeno""",Irene Aldana,http://www.ufcstats.com/fighter-details/578ef12674df1e6a,,"Las Vegas, Nevada, USA",Jason Herzog,1,4:51,291,http://www.ufcstats.com/fight-details/c4eaeec8ac778b27,KO/TKO,Punch to Head At Distance,Irene Aldana
16811,2019-12-14T00:00:00+00:00,Welterweight Bout,0,0,20,12,3,3,1,0,0,23,15,23,3,1,18,12,15,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,12,3,3,1,0,0,23,15,23,3,1,18,12,15,2,2,0,0,0,0,0,10,5,0,0,0,0,0,10,5,10,4,2,3,1,5,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,5,0,0,0,0,0,10,5,10,4,2,3,1,5,3,2,0,0,0,Geoff Neal,http://www.ufcstats.com/fighter-details/b997be68943010fc,"""Handz of Steel""",Mike Perry,http://www.ufcstats.com/fighter-details/f2b6fdb20675b11c,"""Platinum""","Las Vegas, Nevada, USA",Chris Tognoni,1,1:30,90,http://www.ufcstats.com/fight-details/ad5ef8d8678ff97f,KO/TKO,Punches to Head At Distance,Geoff Neal
16811,2019-12-14T00:00:00+00:00,Bantamweight Bout,7,5,27,10,0,0,0,0,0,35,16,34,6,4,25,9,15,3,2,0,0,0,8,7,38,12,18,14,2,1,0,71,40,64,7,6,57,27,33,0,0,0,2,2,2,2,8,4,0,0,1,0,0,10,6,10,1,1,8,4,6,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,73,26,18,14,3,1,0,116,62,108,14,11,90,40,54,4,3,0,2,2,3,2,32,7,0,0,0,0,0,38,12,35,8,2,25,6,9,2,1,0,2,0,2,1,34,8,0,0,0,0,0,43,16,36,0,0,35,8,9,1,1,0,1,0,0,0,5,0,0,0,0,0,0,5,0,5,1,0,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,71,15,0,0,0,0,0,86,28,76,9,2,64,14,18,3,2,0,3,0,Petr Yan,http://www.ufcstats.com/fighter-details/d661ce4da776fc20,"""No Mercy""",Urijah Faber,http://www.ufcstats.com/fighter-details/78114b7199cef90c,"""The California Kid""","Las Vegas, Nevada, USA",Keith Peterson,3,0:43,43,http://www.ufcstats.com/fight-details/a0c82ba11a373008,KO/TKO,Kick to Head At Distance,Petr Yan
16811,2019-12-14T00:00:00+00:00,Bantamweight Bout,1,1,41,17,0,0,0,1,0,42,18,42,4,3,36,13,18,2,2,0,1,1,0,0,54,21,0,0,0,0,0,54,21,54,2,2,51,18,21,1,1,0,0,0,0,0,41,20,0,0,0,0,0,41,20,41,3,2,37,17,20,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,136,58,0,0,0,1,0,137,59,137,9,7,124,48,59,4,4,0,2,1,0,0,40,15,0,0,0,0,0,45,20,40,8,4,30,9,15,2,2,0,0,0,0,0,56,28,0,0,0,0,0,56,28,56,14,7,41,20,28,1,1,0,0,0,1,1,50,14,0,0,0,0,0,51,15,51,12,5,38,10,15,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,146,57,0,0,0,0,0,152,63,147,34,16,109,39,58,4,3,0,0,0,Marlon Moraes,http://www.ufcstats.com/fighter-details/fea79f9bc8c68769,"""Magic""",Jose Aldo,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,,"Las Vegas, Nevada, USA",Marc Goddard,3,5:00,300,http://www.ufcstats.com/fight-details/b5ec939fd1edf048,Decision - Split,Michael Bell 28 - 29.Eric Colon 29 - 28.Mark Smith 29 - 28.,Marlon Moraes
16811,2019-12-14T00:00:00+00:00,UFC Women's Bantamweight Title Bout,1,1,16,4,70,37,0,1,0,88,43,87,1,1,81,38,42,5,3,2,2,2,1,1,17,5,8,3,0,0,0,51,33,26,0,0,20,4,9,6,5,0,3,2,0,0,8,2,36,14,0,2,0,80,47,44,2,1,39,13,16,3,2,0,2,1,1,0,4,4,19,8,0,1,0,39,22,24,3,2,19,8,12,2,2,0,3,2,0,0,1,0,2,0,0,1,0,79,54,3,0,0,3,0,0,0,0,0,1,1,3,2,46,15,135,62,0,5,0,337,199,184,6,4,162,63,79,16,12,2,11,8,4,4,9,4,10,3,0,0,0,36,22,23,7,4,11,2,11,5,5,0,0,0,8,7,22,9,0,0,0,0,0,43,29,30,5,5,24,10,16,1,1,0,0,0,0,0,5,3,5,5,0,0,0,20,17,10,1,1,7,5,8,2,2,0,0,0,1,1,4,2,1,1,0,0,0,33,28,6,1,1,4,2,4,1,1,1,0,0,0,0,2,1,2,0,0,0,0,43,30,4,1,0,2,0,1,1,1,0,0,0,13,12,42,19,18,9,0,0,0,175,126,73,15,11,48,19,40,10,10,1,0,0,Amanda Nunes,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58,"""Lioness""",Germaine de Randamie,http://www.ufcstats.com/fighter-details/1d239d571e342453,"""The Iron Lady""","Las Vegas, Nevada, USA",Keith Peterson,5,5:00,300,http://www.ufcstats.com/fight-details/36fcfd186a8d6df7,Decision - Unanimous,Ron McCarthy 49 - 45.Dave Hagen 49 - 46.Sal D'amato 49 - 44.,Amanda Nunes
